,0
503,3
504,3
505,6
506,5
507,6
508,4
509,6
510,1
511,3
512,2
513,6
514,3
515,2
516,3
517,4
518,0
519,2
520,4
521,2
522,0
523,5
524,1
525,3
526,6
527,5
528,3
529,0
530,3
531,6
532,2
533,6
534,4
535,5
536,5
537,6
538,4
539,4
540,1
541,4
542,2
543,6
544,0
545,5
546,1
547,6
548,3
549,6
550,1
551,5
552,3
553,3
554,5
555,1
556,6
557,0
558,5
559,0
560,3
561,6
562,2
563,5
564,3
565,3
566,5
567,1
568,4
569,6
570,6
571,3
572,4
573,2
574,3
575,4
576,3
577,0
578,0
579,6
580,4
581,2
582,4
583,6
584,4
585,3
586,0
587,4
588,0
589,1
590,4
591,2
592,4
593,4
594,4
595,1
596,5
597,0
598,2
599,6
600,4
601,4
602,6
603,4
604,3
605,3
606,0
607,2
608,5
609,5
610,4
611,4
612,3
613,4
614,5
615,5
616,3
617,1
618,1
619,6
620,5
621,4
622,2
623,5
624,5
625,0
626,0
627,5
628,3
629,5
630,3
631,0
632,5
633,3
634,3
635,4
636,5
637,5
638,0
639,2
640,3
641,2
642,3
643,3
644,0
645,5
646,6
647,6
648,0
649,3
650,2
651,4
652,5
653,0
654,1
655,4
656,6
657,6
658,3
659,3
660,2
661,4
662,0
663,4
664,5
665,6
666,2
667,6
668,5
669,5
670,3
671,2
672,5
673,5
674,2
675,3
676,6
677,4
678,5
679,3
680,4
681,3
682,0
683,3
684,4
685,3
686,6
687,3
688,5
689,4
690,6
691,1
692,4
693,5
694,5
695,0
696,4
697,2
698,3
699,1
700,6
701,5
702,0
703,2
704,1
705,4
706,5
707,5
708,2
709,3
710,5
711,0
712,4
713,5
714,1
715,5
716,1
717,6
718,4
719,1
720,4
721,4
722,4
723,0
724,6
725,0
726,1
727,3
728,1
729,3
730,5
731,3
732,3
733,4
734,3
735,2
736,0
737,4
738,5
739,4
740,3
741,3
742,4
743,3
744,5
745,0
746,4
747,3
748,1
749,5
750,0
751,0
752,0
753,3
754,6
755,2
756,0
757,3
758,2
759,5
760,0
761,2
762,4
763,2
764,5
765,6
766,3
767,0
768,5
769,4
770,6
771,6
772,5
773,5
774,6
775,6
776,6
777,3
778,3
779,4
780,3
781,0
782,5
783,0
784,6
785,2
786,5
787,0
788,0
789,6
790,5
791,0
792,3
793,3
794,1
795,1
796,0
797,1
798,5
799,3
800,0
801,3
802,0
803,3
804,2
805,4
806,0
807,0
808,5
809,5
810,5
811,5
812,2
813,3
814,5
815,3
816,4
817,1
818,0
819,0
820,6
821,4
822,0
823,3
824,3
825,0
826,0
827,1
828,6
829,3
830,1
831,5
832,0
833,6
834,6
835,1
836,2
837,5
838,1
839,3
840,5
841,6
842,3
843,2
844,0
845,0
846,0
847,3
848,3
849,5
850,0
851,5
852,6
853,4
854,4
855,3
856,1
857,2
858,0
859,5
860,3
861,6
862,3
863,4
864,4
865,3
866,5
867,2
868,3
869,0
870,0
871,4
872,5
873,1
874,0
875,6
876,5
877,3
878,2
879,2
880,2
881,5
882,1
883,2
884,0
885,4
886,0
887,0
888,0
889,5
890,6
891,3
892,3
893,3
894,3
895,5
896,0
897,5
898,2
899,0
900,3
901,0
902,5
903,6
904,0
905,2
906,4
907,1
908,0
909,5
910,3
911,4
912,6
913,1
914,4
915,2
916,3
917,1
918,0
919,3
920,5
921,5
922,3
923,0
924,1
925,4
926,4
927,6
928,3
929,3
930,3
931,0
932,6
933,3
934,3
935,5
936,5
937,3
938,3
939,5
940,5
941,3
942,6
943,3
944,0
945,0
946,3
947,6
948,5
949,3
950,0
951,5
952,5
953,4
954,3
955,4
956,6
957,5
958,1
959,1
960,0
961,4
962,4
963,6
964,4
965,3
966,6
967,5
968,3
969,6
970,0
971,2
972,4
973,1
974,6
975,6
976,3
977,1
978,1
979,5
980,6
981,3
982,5
983,0
984,3
985,5
986,5
987,3
988,3
989,5
990,1
991,4
992,5
993,3
994,3
995,4
996,0
997,0
998,0
999,3
1000,5
1001,5
1002,6
1003,0
1004,0
1005,6
1006,5
1007,3
1008,3
1009,0
1010,5
1011,0
1012,3
1013,1
1014,5
1015,5
1016,6
1017,5
1018,5
1019,3
1020,3
1021,2
1022,6
1023,6
1024,6
1025,1
1026,1
1027,6
1028,0
1029,3
1030,5
1031,4
1032,5
1033,3
1034,6
1035,5
1036,4
1037,5
1038,4
1039,5
1040,4
1041,3
1042,1
1043,2
1044,4
1045,2
1046,6
1047,5
1048,5
1049,5
1050,3
1051,4
1052,3
1053,3
1054,2
1055,5
1056,0
1057,5
1058,5
1059,5
1060,1
1061,5
1062,3
1063,0
1064,6
1065,0
1066,3
1067,3
1068,0
1069,5
1070,5
1071,5
1072,3
1073,1
1074,4
1075,1
1076,1
1077,6
1078,6
1079,6
1080,1
1081,0
1082,6
1083,0
1084,1
1085,1
1086,4
1087,5
1088,3
1089,3
1090,3
1091,2
1092,1
1093,4
1094,3
1095,1
1096,5
1097,3
1098,4
1099,5
1100,0
1101,5
1102,3
1103,5
1104,3
1105,3
1106,6
1107,3
1108,5
1109,0
1110,0
1111,3
1112,6
1113,3
1114,5
1115,1
1116,6
1117,3
1118,0
1119,4
1120,0
1121,6
1122,5
1123,6
1124,4
1125,0
1126,6
1127,3
1128,5
1129,3
1130,2
1131,4
1132,5
1133,5
1134,3
1135,3
1136,5
1137,4
1138,0
1139,4
1140,1
1141,5
1142,3
1143,5
1144,5
1145,5
1146,2
1147,6
1148,4
1149,2
1150,3
1151,1
1152,1
1153,3
1154,1
1155,3
1156,6
1157,1
1158,1
1159,5
1160,5
1161,3
1162,6
1163,3
1164,5
1165,0
1166,0
1167,2
1168,6
1169,5
1170,3
1171,0
1172,6
1173,0
1174,5
1175,6
1176,5
1177,4
1178,5
1179,6
1180,2
1181,4
1182,0
1183,4
1184,3
1185,6
1186,3
1187,3
1188,0
1189,0
1190,2
1191,1
1192,2
1193,2
1194,3
1195,4
1196,5
1197,0
1198,3
1199,5
1200,4
1201,3
1202,6
1203,2
1204,5
1205,5
1206,1
1207,5
1208,4
1209,2
1210,6
1211,1
1212,3
1213,4
1214,6
1215,5
1216,6
1217,5
1218,2
1219,0
1220,4
1221,6
1222,5
1223,5
1224,3
1225,5
1226,4
1227,6
1228,1
1229,5
1230,1
1231,5
1232,4
1233,1
1234,6
1235,1
1236,3
1237,3
1238,0
1239,6
1240,6
1241,4
1242,3
1243,0
1244,4
1245,5
1246,3
1247,4
1248,0
1249,4
1250,6
1251,3
1252,6
1253,3
1254,4
1255,2
1256,6
1257,4
1258,5
1259,3
1260,0
1261,2
1262,5
1263,0
1264,4
1265,5
1266,5
1267,6
1268,5
1269,6
1270,0
1271,3
1272,0
1273,1
1274,3
1275,6
1276,6
1277,1
1278,5
1279,0
1280,3
1281,3
1282,5
1283,3
1284,0
1285,4
1286,0
1287,3
1288,3
1289,5
1290,5
1291,2
1292,5
1293,1
1294,1
1295,1
1296,0
1297,3
1298,6
1299,0
1300,5
1301,6
1302,3
1303,0
1304,0
1305,5
1306,6
1307,2
1308,5
1309,0
1310,3
1311,5
1312,4
1313,3
1314,5
1315,3
1316,1
1317,3
1318,5
1319,5
1320,2
1321,5
1322,3
1323,1
1324,5
1325,3
1326,2
1327,3
1328,3
1329,5
1330,6
1331,4
1332,6
1333,5
1334,2
1335,3
1336,3
1337,1
1338,3
1339,0
1340,6
1341,0
1342,6
1343,5
1344,6
1345,5
1346,3
1347,3
1348,6
1349,3
1350,6
1351,6
1352,4
1353,3
1354,3
1355,5
1356,4
1357,1
1358,3
1359,5
1360,4
1361,2
1362,0
1363,0
1364,4
1365,6
1366,3
1367,5
1368,6
1369,3
1370,4
1371,0
1372,0
1373,3
1374,1
1375,4
1376,3
1377,1
1378,2
1379,2
1380,5
1381,1
1382,0
1383,3
1384,3
1385,6
1386,3
1387,3
1388,3
1389,0
1390,3
1391,1
1392,0
1393,6
1394,3
1395,0
1396,6
1397,6
1398,0
1399,3
1400,2
1401,5
1402,5
1403,5
1404,0
1405,4
1406,0
1407,5
1408,4
1409,6
1410,4
1411,3
1412,0
1413,4
1414,1
1415,3
1416,0
1417,5
1418,3
1419,3
1420,5
1421,5
1422,4
1423,6
1424,4
1425,0
1426,4
1427,3
1428,4
1429,6
1430,2
1431,2
1432,3
1433,4
1434,6
1435,3
1436,6
1437,4
1438,5
1439,6
1440,2
1441,3
1442,2
1443,0
1444,5
1445,6
1446,5
1447,0
1448,2
1449,3
1450,4
1451,6
1452,6
1453,6
1454,0
1455,0
1456,4
1457,5
1458,5
1459,3
1460,5
1461,5
1462,3
1463,1
1464,2
1465,1
1466,3
1467,6
1468,0
1469,0
1470,5
1471,1
1472,3
1473,5
1474,4
1475,2
1476,2
1477,6
1478,6
1479,6
1480,4
1481,0
1482,5
1483,2
1484,5
1485,5
1486,3
1487,2
1488,5
1489,1
1490,1
1491,4
1492,3
1493,3
1494,3
1495,0
1496,3
1497,4
1498,3
1499,3
1500,0
1501,0
1502,4
1503,5
1504,1
1505,1
1506,5
1507,2
1508,5
1509,2
1510,5
1511,5
1512,6
1513,6
1514,6
1515,5
1516,1
1517,5
1518,4
1519,4
1520,5
1521,3
1522,0
1523,5
1524,3
1525,3
1526,4
1527,5
1528,0
1529,4
1530,4
1531,1
1532,3
1533,4
1534,3
1535,4
1536,0
1537,3
1538,5
1539,1
1540,3
1541,5
1542,6
1543,2
1544,0
1545,5
1546,5
1547,1
1548,5
1549,2
1550,3
1551,0
1552,4
1553,1
1554,3
1555,4
1556,6
1557,5
1558,0
1559,3
1560,3
1561,6
1562,0
1563,5
1564,4
1565,2
1566,3
1567,0
1568,3
1569,3
1570,6
1571,2
1572,6
1573,2
1574,3
1575,1
1576,6
1577,2
1578,3
1579,1
1580,4
1581,0
1582,2
1583,4
1584,4
1585,4
1586,1
1587,0
1588,4
1589,5
1590,5
1591,0
1592,6
1593,1
1594,2
1595,5
1596,4
1597,2
1598,5
1599,4
1600,5
1601,6
1602,4
1603,4
1604,1
1605,3
1606,1
1607,6
1608,1
1609,6
1610,5
1611,4
1612,4
1613,1
1614,1
1615,1
1616,6
1617,0
1618,3
1619,4
1620,0
1621,0
1622,5
1623,3
1624,6
1625,6
1626,3
1627,1
1628,5
1629,5
1630,3
1631,3
1632,3
1633,4
1634,2
1635,4
1636,3
1637,3
1638,3
1639,3
1640,3
1641,6
1642,2
1643,1
1644,5
1645,4
1646,6
1647,4
1648,4
1649,4
1650,5
1651,2
1652,0
1653,6
1654,6
1655,3
1656,6
1657,6
1658,3
1659,4
1660,3
1661,5
1662,5
1663,6
1664,5
1665,5
1666,2
1667,6
1668,3
1669,2
1670,4
1671,3
1672,1
1673,4
1674,2
1675,5
1676,1
1677,6
1678,2
1679,3
1680,4
1681,1
1682,0
1683,6
1684,2
1685,3
1686,0
1687,6
1688,0
1689,5
1690,4
1691,4
1692,1
1693,2
1694,1
1695,3
1696,3
1697,3
1698,4
1699,5
1700,0
1701,5
1702,3
1703,5
1704,5
1705,3
1706,5
1707,6
1708,3
1709,3
1710,3
1711,3
1712,6
1713,3
1714,6
1715,5
1716,6
1717,3
1718,4
1719,4
1720,2
1721,3
1722,0
1723,0
1724,3
1725,4
1726,3
1727,4
1728,6
1729,5
1730,2
1731,4
1732,4
1733,2
1734,6
1735,5
1736,1
1737,6
1738,6
1739,0
1740,0
1741,6
1742,5
1743,3
1744,3
1745,6
1746,4
1747,5
1748,3
1749,0
1750,3
1751,5
1752,3
1753,5
1754,5
1755,3
1756,6
1757,6
1758,6
1759,3
1760,6
1761,3
1762,6
1763,4
1764,3
1765,3
1766,1
1767,1
1768,0
1769,3
1770,5
1771,5
1772,4
1773,3
1774,5
1775,4
1776,5
1777,0
1778,0
1779,2
1780,5
1781,3
1782,1
1783,5
1784,3
1785,0
1786,4
1787,4
1788,5
1789,5
1790,3
1791,3
1792,4
1793,6
1794,3
1795,3
1796,2
1797,5
1798,5
1799,6
1800,5
1801,0
1802,6
1803,0
1804,6
1805,1
1806,5
1807,3
1808,6
1809,2
1810,3
1811,4
1812,3
1813,4
1814,0
1815,3
1816,1
1817,6
1818,5
1819,4
1820,2
1821,6
1822,0
1823,5
1824,6
1825,3
1826,4
1827,3
1828,4
1829,0
1830,6
1831,4
1832,1
1833,6
1834,0
1835,5
1836,4
1837,4
1838,4
1839,5
1840,0
1841,6
1842,5
1843,4
1844,6
1845,5
1846,4
1847,6
1848,1
1849,5
1850,5
1851,6
1852,4
1853,5
1854,6
1855,6
1856,1
1857,4
1858,1
1859,0
1860,1
1861,0
1862,4
1863,6
1864,5
1865,1
1866,6
1867,5
1868,3
1869,4
1870,5
1871,0
1872,3
1873,5
1874,0
1875,6
1876,5
1877,3
1878,4
1879,1
1880,4
1881,6
1882,3
1883,1
1884,5
1885,3
1886,1
1887,6
1888,5
1889,3
1890,0
1891,5
1892,3
1893,6
1894,5
1895,4
1896,3
1897,0
1898,2
1899,5
1900,6
1901,6
1902,0
1903,3
1904,5
1905,4
1906,4
1907,4
1908,0
1909,0
1910,3
1911,4
1912,6
1913,3
1914,1
1915,4
1916,0
1917,5
1918,4
1919,3
1920,4
1921,0
1922,5
1923,5
1924,2
1925,0
1926,1
1927,2
1928,2
1929,4
1930,4
1931,3
1932,3
1933,5
1934,1
1935,4
1936,0
1937,0
1938,3
1939,6
1940,4
1941,3
1942,0
1943,3
1944,3
1945,3
1946,4
1947,0
1948,5
1949,5
1950,3
1951,3
1952,5
1953,3
1954,2
1955,2
1956,5
1957,4
1958,3
1959,3
1960,4
1961,4
1962,4
1963,5
1964,5
1965,2
1966,4
1967,2
1968,6
1969,3
1970,5
1971,6
1972,4
1973,1
1974,6
1975,2
1976,5
1977,5
1978,3
1979,4
1980,2
1981,3
1982,1
1983,0
1984,5
1985,1
1986,6
1987,3
1988,0
1989,5
1990,0
1991,6
1992,5
1993,3
1994,0
1995,0
1996,1
1997,6
1998,0
1999,5
2000,1
2001,4
2002,0
2003,4
2004,4
2005,6
2006,5
2007,5
2008,4
2009,2
2010,0
2011,5
2012,3
2013,6
2014,4
2015,0
2016,4
2017,5
2018,3
2019,3
2020,1
2021,3
2022,1
2023,2
2024,3
2025,1
2026,5
2027,1
2028,2
2029,5
2030,1
2031,6
2032,0
2033,0
2034,3
2035,1
2036,6
2037,5
2038,1
2039,6
2040,6
2041,4
2042,4
2043,3
2044,1
2045,5
2046,6
2047,0
2048,0
2049,3
2050,3
2051,6
2052,6
2053,5
2054,6
2055,3
2056,4
2057,4
2058,6
2059,1
2060,1
2061,0
2062,4
2063,4
2064,3
2065,0
2066,4
2067,2
2068,3
2069,4
2070,6
2071,4
2072,1
2073,2
2074,6
2075,6
2076,1
2077,2
2078,2
2079,4
2080,1
2081,5
2082,3
2083,3
2084,0
2085,2
2086,0
2087,0
2088,4
2089,3
2090,0
2091,5
2092,3
2093,3
2094,5
2095,3
2096,3
2097,3
2098,0
2099,6
2100,3
2101,6
2102,0
2103,1
2104,0
2105,1
2106,0
2107,6
2108,4
2109,3
2110,1
2111,4
2112,5
2113,0
2114,4
2115,6
2116,5
2117,3
2118,2
2119,0
2120,6
2121,5
2122,3
2123,0
2124,5
2125,1
2126,6
2127,6
2128,3
2129,5
2130,3
2131,0
2132,2
2133,3
2134,0
2135,5
2136,5
2137,2
2138,4
2139,2
2140,3
2141,3
2142,1
2143,3
2144,0
2145,4
2146,1
2147,5
2148,4
2149,3
2150,5
2151,5
2152,4
2153,6
2154,2
2155,6
2156,4
2157,6
2158,6
2159,3
2160,4
2161,5
2162,3
2163,4
2164,2
2165,3
2166,6
2167,1
2168,6
2169,3
2170,3
2171,5
2172,4
2173,5
2174,3
2175,3
2176,5
2177,6
2178,5
2179,6
2180,2
2181,4
2182,5
2183,6
2184,3
2185,3
2186,3
2187,0
2188,6
2189,3
2190,3
2191,3
2192,0
2193,3
2194,0
2195,3
2196,0
2197,6
2198,2
2199,4
2200,3
2201,2
2202,6
2203,4
2204,2
2205,0
2206,4
2207,6
2208,5
2209,4
2210,5
2211,3
2212,0
2213,6
2214,5
2215,6
2216,2
2217,4
2218,0
2219,0
2220,2
2221,3
2222,0
2223,5
2224,5
2225,4
2226,1
2227,3
2228,6
2229,5
2230,5
2231,3
2232,3
2233,4
2234,5
2235,2
2236,3
2237,5
2238,1
2239,5
2240,5
2241,0
2242,6
2243,6
2244,4
2245,5
2246,2
2247,0
2248,0
2249,5
2250,3
2251,2
2252,0
2253,0
2254,0
2255,2
2256,6
2257,3
2258,6
2259,4
2260,0
2261,0
2262,4
2263,3
2264,1
2265,0
2266,5
2267,1
2268,6
2269,6
2270,1
2271,4
2272,4
2273,3
2274,4
2275,3
2276,5
2277,4
2278,6
2279,6
2280,5
2281,3
2282,5
2283,4
2284,0
2285,0
2286,4
2287,3
2288,5
2289,3
2290,1
2291,4
2292,5
2293,4
2294,3
2295,5
2296,6
2297,4
2298,3
2299,2
2300,4
2301,2
2302,2
2303,4
2304,0
2305,0
2306,5
2307,2
2308,3
2309,4
2310,3
2311,3
2312,3
2313,0
2314,4
2315,6
2316,0
2317,4
2318,3
2319,1
2320,3
2321,5
2322,6
2323,3
2324,5
2325,4
2326,6
2327,3
2328,6
2329,1
2330,4
2331,5
2332,3
2333,6
2334,6
2335,4
2336,2
2337,6
2338,3
2339,3
2340,6
2341,4
2342,3
2343,6
2344,6
2345,6
2346,5
2347,4
2348,5
2349,2
2350,5
2351,5
2352,6
2353,6
2354,6
2355,3
2356,4
2357,6
2358,3
2359,1
2360,5
2361,4
2362,1
2363,5
2364,5
2365,0
2366,3
2367,0
2368,1
2369,0
2370,2
2371,3
2372,5
2373,6
2374,6
2375,4
2376,5
2377,4
2378,2
2379,5
2380,6
2381,0
2382,3
2383,6
2384,4
2385,4
2386,3
2387,5
2388,2
2389,0
2390,3
2391,2
2392,5
2393,3
2394,4
2395,3
2396,6
2397,5
2398,0
2399,4
2400,2
2401,4
2402,0
2403,4
2404,4
2405,0
2406,3
2407,5
2408,4
2409,3
2410,1
2411,3
2412,0
2413,6
2414,6
2415,6
2416,1
2417,1
2418,5
2419,2
2420,4
2421,6
2422,5
2423,0
2424,0
2425,1
2426,2
2427,6
2428,3
2429,6
2430,3
2431,0
2432,4
2433,5
2434,0
2435,2
2436,1
2437,5
2438,4
2439,5
2440,2
2441,0
2442,0
2443,4
2444,5
2445,5
2446,5
2447,2
2448,1
2449,3
2450,1
2451,3
2452,5
2453,4
2454,0
2455,2
2456,3
2457,3
2458,4
2459,4
2460,4
2461,6
2462,4
2463,6
2464,0
2465,1
2466,6
2467,5
2468,6
2469,4
2470,5
2471,4
2472,3
2473,4
2474,3
2475,1
2476,5
2477,3
2478,5
2479,3
2480,0
2481,0
2482,5
2483,4
2484,3
2485,6
2486,0
2487,6
2488,2
2489,3
2490,4
2491,3
2492,4
2493,0
2494,4
2495,3
2496,5
2497,1
2498,3
2499,6
2500,6
2501,6
2502,5
2503,3
2504,4
2505,3
2506,1
2507,6
2508,3
2509,5
2510,4
2511,0
2512,5
2513,3
2514,0
2515,5
2516,1
2517,0
2518,2
2519,4
2520,6
2521,4
2522,0
2523,4
2524,3
2525,4
2526,5
2527,2
2528,3
2529,5
2530,3
2531,4
2532,5
2533,6
2534,2
2535,3
2536,5
2537,4
2538,1
2539,2
2540,4
2541,0
2542,3
2543,5
2544,0
2545,5
2546,6
2547,0
2548,6
2549,3
2550,3
2551,0
2552,1
2553,2
2554,6
2555,6
2556,3
2557,0
2558,5
2559,2
2560,0
2561,6
2562,3
2563,0
2564,0
2565,3
2566,4
2567,6
2568,4
2569,4
2570,5
2571,4
2572,3
2573,3
2574,1
2575,4
2576,3
2577,6
2578,3
2579,1
2580,3
2581,3
2582,3
2583,4
2584,3
2585,4
2586,6
2587,6
2588,6
2589,6
2590,2
2591,0
2592,3
2593,5
2594,6
2595,6
2596,0
2597,3
2598,5
2599,2
2600,5
2601,3
2602,3
2603,1
2604,5
2605,3
2606,1
2607,3
2608,0
2609,2
2610,3
2611,3
2612,5
2613,1
2614,3
2615,3
2616,3
2617,5
2618,0
2619,4
2620,5
2621,6
2622,2
2623,4
2624,6
2625,0
2626,1
2627,5
2628,4
2629,5
2630,3
2631,0
2632,0
2633,3
2634,4
2635,0
2636,5
2637,4
2638,5
2639,0
2640,5
2641,0
2642,4
2643,4
2644,4
2645,3
2646,5
2647,6
2648,0
2649,3
2650,4
2651,5
2652,3
2653,1
2654,3
2655,0
2656,6
2657,3
2658,0
2659,1
2660,5
2661,4
2662,5
2663,3
2664,3
2665,4
2666,4
2667,3
2668,6
2669,2
2670,0
2671,3
2672,5
2673,4
2674,3
2675,5
2676,0
2677,3
2678,4
2679,6
2680,5
2681,4
2682,6
2683,3
2684,6
2685,0
2686,2
2687,6
2688,5
2689,6
2690,5
2691,5
2692,4
2693,2
2694,5
2695,6
2696,1
2697,4
2698,5
2699,1
2700,5
2701,0
2702,4
2703,0
2704,2
2705,4
2706,4
2707,0
2708,2
2709,3
2710,5
2711,5
2712,0
2713,6
2714,0
2715,0
2716,3
2717,4
2718,6
2719,3
2720,6
2721,5
2722,2
2723,6
2724,5
2725,5
2726,4
2727,6
2728,4
2729,3
2730,3
2731,3
2732,6
2733,5
2734,2
2735,3
2736,4
2737,6
2738,2
2739,5
2740,0
2741,4
2742,2
2743,0
2744,5
2745,0
2746,4
2747,4
2748,6
2749,3
2750,2
2751,6
2752,1
2753,3
2754,6
2755,5
2756,2
2757,3
2758,4
2759,0
2760,4
2761,2
2762,4
2763,4
2764,0
2765,2
2766,2
2767,3
2768,4
2769,3
2770,5
2771,6
2772,3
2773,1
2774,2
2775,0
2776,3
2777,3
2778,2
2779,5
2780,0
2781,4
2782,1
2783,3
2784,6
2785,3
2786,3
2787,6
2788,6
2789,4
2790,6
2791,1
2792,3
2793,4
2794,6
2795,5
2796,0
2797,0
2798,5
2799,5
2800,1
2801,2
2802,3
2803,3
2804,1
2805,0
2806,5
2807,4
2808,3
2809,6
2810,5
2811,2
2812,1
2813,0
2814,0
2815,2
2816,3
2817,1
2818,2
2819,6
2820,6
2821,1
2822,0
2823,5
2824,1
2825,6
2826,5
2827,3
2828,3
2829,4
2830,4
2831,0
2832,4
2833,3
2834,4
2835,5
2836,1
2837,2
2838,3
2839,3
2840,0
2841,1
2842,5
2843,4
2844,3
2845,6
2846,0
2847,5
2848,0
2849,4
2850,4
2851,5
2852,2
2853,6
2854,6
2855,6
2856,5
2857,1
2858,3
2859,2
2860,3
2861,5
2862,6
2863,0
2864,4
2865,5
2866,3
2867,3
2868,3
2869,5
2870,3
2871,5
2872,0
2873,1
2874,3
2875,0
2876,4
2877,1
2878,3
2879,5
2880,3
2881,6
2882,3
2883,1
2884,2
2885,6
2886,3
2887,3
2888,3
2889,6
2890,5
2891,6
2892,3
2893,4
2894,0
2895,5
2896,1
2897,3
2898,3
2899,3
2900,6
2901,5
2902,2
2903,3
2904,4
2905,0
2906,5
2907,6
2908,5
2909,4
2910,3
2911,5
2912,6
2913,2
2914,0
2915,3
2916,4
2917,6
2918,3
2919,5
2920,3
2921,0
2922,4
2923,3
2924,0
2925,3
2926,4
2927,5
2928,5
2929,6
2930,4
2931,1
2932,3
2933,3
2934,1
2935,2
2936,3
2937,4
2938,3
2939,0
2940,3
2941,5
2942,5
2943,5
2944,1
2945,3
2946,6
2947,5
2948,0
2949,3
2950,3
2951,0
2952,3
2953,6
2954,0
2955,4
2956,0
2957,4
2958,3
2959,3
2960,4
2961,0
2962,0
2963,0
2964,3
2965,4
2966,4
2967,6
2968,0
2969,0
2970,6
2971,5
2972,5
2973,4
2974,3
2975,5
2976,6
2977,5
2978,4
2979,2
2980,0
2981,2
2982,5
2983,1
2984,5
2985,6
2986,3
2987,2
2988,2
2989,0
2990,0
2991,6
2992,2
2993,4
2994,5
2995,1
2996,5
2997,4
